,invoice_id,issue_date,creation_date,invoice_type,buyer_company_name,vendor_company_name,payment_status,days_since_issue,past_due,total_amount_with_taxes,work_description,payment_status_norm
2658,2752,2025-05-07,2025-05-07T18:07:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,259,True,497.2,"B06909- BCA268679540Temporary Staff Replacement BellApril 2-9-21-26,2025",unpaid
2659,2753,2025-05-07,2025-05-07T18:14:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,259,True,1762.8,"B06913 - BCA268679517Temporary Staff Replacement BellApril 2 - 4 - 7 - 9- 11 - 14 - 16 - 18 - 21 - 23 - 25 - 28 - 30, 2025",unpaid
2660,2754,2025-05-07,2025-05-07T18:19:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,259,True,423.58,"B11499- BCA268679535Temporary Staff Replacement BellApril 1 - 3 - 8 - 10 - 15 - 17 - 22 - 24 - 29 , 2025",unpaid
2681,2776,2025-05-13,2025-05-13T14:45:00+00:00,One Shot,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,253,True,898.35,Full cleaning of cubes/workstations and Deep cleaning of carpets,unpaid
2683,2778,2025-05-13,2025-05-13T19:34:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,253,True,819.25,"TDA0620 - TDC79134823 Request to do a big clean up due to another branch merging with them and need to have some garbage picked up (marketing material, Christmas tree, decorations etc...). May 09,2025",unpaid
2878,2975,2025-05-30,2025-05-30T14:42:00+00:00,One Shot,2501308 Ontario Inc,12433087 Canada Inc.,Unpaid,236,True,791.0,"1540 Kilborn - Window cleaning - April 10th, 2025",unpaid
2919,3021,2025-06-11,2025-06-11T15:20:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,224,True,152.76,"B03257 - 268672016Complete site cleaning and restock of suppliesMay 05,2025",unpaid
2925,3027,2025-06-30,2025-06-12T11:04:00+00:00,Regular,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,205,True,13074.26,Janitorial Services at 50 Rideau Parking- RED-BLUE-GREEN- May 2025,unpaid
2982,3085,2025-06-30,2025-06-17T21:03:00+00:00,Regular,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,205,True,762.75,Janitorial Services at 160 George Weekend Service June 2025,unpaid
3090,3195,2025-07-04,2025-07-04T18:59:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,201,True,34.49,"B03277 - BCA79516712Bell Inspection June 26,2025",unpaid
3091,3196,2025-07-31,2025-07-04T19:04:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,174,True,1356.0,"B06913 -268676672Janitorial Services May 2, 5, 7, 9, 12, 14, 16,19, 21, 23, 2025",unpaid
3092,3197,2025-07-31,2025-07-04T19:08:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,174,True,297.02,"B06854-268676674Janitorial Services May 2, 9, 16, 23, 30, 2025",unpaid
3093,3198,2025-07-31,2025-07-04T19:13:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,174,True,111.93,"B06674 - 268676675Janitorial Services May 2, 9, 16, 23, 30,2025",unpaid
3094,3199,2025-07-31,2025-07-04T19:17:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,174,True,621.5,"B06909 - 268679540Janitorial Services May 2, 9, 16, 23, 30,2025",unpaid
3095,3200,2025-07-31,2025-07-04T19:40:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,174,True,1976.37,OTTW62764.4168989223OTTAWA - 268683287 Janitorial Services at VIA Rail Ottawa - June 16 to June 30 2025,unpaid
3097,3202,2025-07-31,2025-07-04T21:10:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,174,True,145.87,"B10095 - 268672559Janitorial Services and Provision of Supplies June 01,2025",unpaid
3103,3208,2025-07-31,2025-07-04T21:53:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,174,True,1437.36,"OTTW62764.4168989223OTTAWA - 268683287Replace Janitorial Services at VIA Rail OttawaJune 4-5-6-7-8-9-10-11-12-13, 2025",unpaid
3104,3209,2025-07-04,2025-07-04T22:11:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,201,True,1808.0,"BCA78369900Strip and Wax of 3 roomsJune 22,2025",unpaid
3106,3211,2025-07-05,2025-07-05T11:47:00+00:00,One Shot,Allen Maintenance Ltd-98,12433087 Canada Inc.,Unpaid,200,True,1578.04,320 Boul. St Joseph-Galeries Hull - Sweep and mop floors mall,unpaid
3107,3212,2025-07-05,2025-07-05T11:52:00+00:00,One Shot,Allen Maintenance Ltd-98,12433087 Canada Inc.,Unpaid,200,True,517.39,"320 Boul. St Joseph - Galeries Hull - Supply Staff to wash floors - February 22nd and 23rd, 2025",unpaid
3112,3217,2025-07-05,2025-07-05T12:14:00+00:00,One Shot,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,200,True,875.75,300 Slater - Winter mats - May 2025,unpaid
3119,3224,2025-07-05,2025-07-06T00:17:00+00:00,One Shot,Allen Maintenance Ltd-98,12433087 Canada Inc.,Unpaid,200,True,3230.24,1355 Bank St. / Riverside  - Power Sweep and Pressure Wash Parking Garage - April 2025,unpaid
3131,3236,2025-07-31,2025-07-08T09:36:00+00:00,Regular,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,174,True,384.2,"Janitorial Services ,1320 Carling Ave, Ottawa, ON",unpaid
3132,3237,2025-07-31,2025-07-08T09:39:00+00:00,Regular,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,174,True,288.15,"Janitorial Services, 421-423 Richmond Rd, Ottawa, ON",unpaid
3137,3243,2025-07-31,2025-07-08T10:07:00+00:00,Regular,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,174,True,206.23,"Janitorial Services Bank RBC ,1200 St Laurent ,Ottawa On",unpaid
3139,3249,2025-07-08,2025-07-08T11:33:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,197,True,86.23,Staff Remplacement Bank BMO (1-2 july / 3 hours),unpaid
3140,3250,2025-07-08,2025-07-08T11:37:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,197,True,86.23,Staff Remplacement Bank BMO (1-2 july / 3 hours),unpaid
3141,3251,2025-07-08,2025-07-08T11:41:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,197,True,86.23,Staff Remplacement Bank BMO (1-2 july / 3 hours),unpaid
3142,3252,2025-07-08,2025-07-08T11:45:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,197,True,86.23,Staff Remplacement Bank BMO (1-2 july / 3 hours),unpaid
3143,3253,2025-07-08,2025-07-08T11:52:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,197,True,86.23,Staff Remplacement Bank BMO (1-2 july / 3 hours),unpaid
3148,3258,2025-07-31,2025-07-09T11:52:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,174,True,169.5,"B03076 - BCA79764698Janitorial Services and Provision of SuppliesJuly 05,2025",unpaid
3154,3265,2025-07-31,2025-07-10T14:15:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,174,True,151.71,"B06755 - 268672403Janitorial Services and Provision of suppliesJuly 07,2025",unpaid
3159,3270,2025-07-13,2025-07-13T20:40:00+00:00,One Shot,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,192,True,660.54,Strip and Wax ( 9-10 July ),unpaid
3162,3273,2025-07-14,2025-07-14T20:31:00+00:00,One Shot,Ladies Space,15652286 Canada Inc-Anssuini,Unpaid,191,True,209.05,"301 Bank St, Ottawa K2P 1X7General cleaning to include complete bathroom washing and disinfection, high dusting, sweeping and mopping of all floors, cleaning of interior windows and window frames, and dusting and washing of furniture, doors, and glass partitions. 1 visit per month.Material and products included",unpaid
3209,3320,2025-07-31,2025-07-23T08:53:00+00:00,Regular,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,174,True,384.2,"Janitorial Services ,1320 Carling Ave, Ottawa, ON",unpaid
3210,3321,2025-07-31,2025-07-23T08:56:00+00:00,Regular,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,174,True,288.15,"Janitorial Services, 421-423 Richmond Rd, Ottawa, ON",unpaid
3213,3324,2025-07-23,2025-07-23T09:31:00+00:00,One Shot,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,182,True,569.52,O/s High Dusting 5th Floor (11-14 July ),unpaid
3229,3341,2025-07-23,2025-07-23T22:22:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,182,True,7232.0,"Shampoo Carpet Cleaning 1st floor, (9,10,11,12,13,16,17,18 Dec - 2024 / 256 hours)",unpaid
3230,3342,2025-07-23,2025-07-23T22:27:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,182,True,1356.0,"Shampoo Carpet Cleaning 2nd floor, (19 Dec - 2024 / 48 hours)",unpaid
3235,3350,2025-07-31,2025-07-24T07:37:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,174,True,185.3,B06753 - 268672402Janitorial Services and Provision of Supplies (June 11th 2025),unpaid
3239,3354,2025-07-31,2025-07-24T07:59:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,174,True,167.96,B06757 - 268672405Janitorial Services and Provision of Supplies (June 11th 2025),unpaid
3243,3358,2025-07-24,2025-07-24T10:22:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,181,True,1073.5,Shampoo Carpet Cleaning Offices (26 - 27 Dec - 2024 / 38 hours),unpaid
3244,3359,2025-07-24,2025-07-24T10:45:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,181,True,1469.0,"Strip and Wax , (20-21 Dec - 2024 / 52 hours)",unpaid
3245,3360,2025-07-24,2025-07-24T10:59:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,181,True,904.0,"Carpet Cleaning, (22-23 Dec - 2024 / 32 hours)",unpaid
3246,3361,2025-07-24,2025-07-24T11:04:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,181,True,678.0,"Wash interior, Windows (24 Dec - 2024 / 24 hours)",unpaid
3247,3362,2025-07-24,2025-07-24T11:16:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,181,True,621.5,Strip and Wax Corridors and Washrooms Floors (28 Dec -2024 / 22 hours),unpaid
3248,3363,2025-07-24,2025-07-24T11:20:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,181,True,621.5,Wash interior Windows (29 Dec - 2024 / 22 hours),unpaid
3249,3366,2025-07-24,2025-07-24T11:43:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,181,True,847.5,"Trip Visit all location to projets works from Pembroke (297 Pembroke, 162 Agnes, 615 Pembroke, 31 Riverside , 7-8 Dec -2024 / 30 hours)",unpaid
3251,3369,2025-07-24,2025-07-24T11:54:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,181,True,5198.0,Shampoo Carpet Cleaning (3-4-5-6 January-2025 / 184 hours),unpaid
3252,3370,2025-07-24,2025-07-24T11:57:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,181,True,4068.0,Wash interior Windows (7-8-9-10 January-2025 / 144 hours ),unpaid
3259,3378,2025-07-25,2025-07-25T10:57:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,180,True,310.75,"RBC2422 - 242200660Request to pick up garbage from parking lotJuly 23,2025",unpaid
3277,3397,2025-07-29,2025-07-29T20:39:00+00:00,One Shot,Ladies Space,15652286 Canada Inc-Anssuini,Unpaid,176,True,254.25,Carpet Cleaning on Stairs,unpaid
3279,3399,2025-07-30,2025-07-30T12:24:00+00:00,One Shot,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,175,True,806.55,Strip and Wax (14-17 July ),unpaid
3281,3402,2025-07-30,2025-07-30T13:16:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,175,True,310.75,"RBC2422 - 242200662Removal of garbage in the back parking lotJuly 29,2025",unpaid
3282,3403,2025-07-31,2025-07-30T13:23:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,174,True,373.67,"B03269 - BCA79851242Janitorial Services and Provision of SuppliesJuly 29,2025",unpaid
3345,3467,2025-07-31,2025-07-31T22:12:00+00:00,Regular,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,174,True,1040.78,"Janitorial Services at 3995 Old Richmond Road, Bells Corner United Church, July 2025",unpaid
3346,3468,2025-07-31,2025-07-31T22:13:00+00:00,Regular,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,174,True,762.75,Janitorial Services at 160 George Weekend Service July 2025,unpaid
3378,3500,2025-08-01,2025-08-01T15:08:00+00:00,One Shot,TAYANTI OTTAWA INC,15652286 Canada Inc-Anssuini,Unpaid,173,True,415.84,O/S CLEANING SERVICES,unpaid
3379,3501,2025-08-01,2025-08-01T18:19:00+00:00,One Shot,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,173,True,197.56,170 Laurier - Supply a dayporter - July 7th,unpaid
3405,3528,2025-08-12,2025-08-12T17:52:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,162,True,548.63,"B00395-BCA79470205Service Call Light replacementJune 11,2025",unpaid
3411,3534,2025-08-13,2025-08-13T13:41:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,161,True,254.25,"TDA 00097 - TDC80150738Request to clean fabric on chairs for biohazzardAugust 12,2025",unpaid
3413,3536,2025-08-18,2025-08-18T09:59:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,156,True,39.9,"B00437- BCA80131169Request to change fluorescent bulbs in 1 of the fixtures August 15,2025",unpaid
3439,3562,2025-08-18,2025-08-18T18:04:00+00:00,One Shot,Greenboro Medical Center,16021166 Canada Ind-Augusto Silva,Unpaid,156,True,649.75,Replacement of affected ceiling tiles at hair salon spa and physio center,unpaid
3495,3618,2025-08-22,2025-08-22T23:53:00+00:00,One Shot,Controlnet,12433087 Canada Inc.,Unpaid,152,True,270.19,MACH-2001 McGill-Extra service menager Nothbolt (1601) August 2025,unpaid
3530,3653,2025-08-31,2025-08-25T11:05:00+00:00,Regular,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,143,True,384.2,"Janitorial Services ,1320 Carling Ave, Ottawa, ON",unpaid
3531,3654,2025-08-31,2025-08-25T11:09:00+00:00,Regular,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,143,True,288.15,"Janitorial Services, 421-423 Richmond Rd, Ottawa, ON",unpaid
3548,3671,2025-08-31,2025-08-25T15:42:00+00:00,Regular,12433087 Canada Inc,16021166 Canada Ind- Diego Salgado-Augusto Silva,Unpaid,143,True,3811.29,Janitorial Services at 1000 Castle Hill- August 2025,unpaid
3549,3672,2025-08-31,2025-08-25T15:43:00+00:00,Regular,12433087 Canada Inc,16021166 Canada Ind- Diego Salgado-Augusto Silva,Unpaid,143,True,3787.5,Janitorial Services at 20 Deerfield - August 2025,unpaid
3550,3673,2025-08-31,2025-08-25T15:43:00+00:00,Regular,12433087 Canada Inc,16021166 Canada Ind- Diego Salgado-Augusto Silva,Unpaid,143,True,3787.5,Janitorial services - 18 Deerfield Dr - August 2025,unpaid
3551,3674,2025-08-31,2025-08-25T15:50:00+00:00,Regular,Greenboro Medical Center,16021166 Canada Ind- Diego Salgado-Augusto Silva,Unpaid,143,True,1045.25,Janitorial services - 25 Tapiola Cresent - August 2025,unpaid
3553,3676,2025-08-25,2025-08-25T23:13:00+00:00,One Shot,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,149,True,4891.62,strip and wax (24-30-31 July / 1-2-3-5-7-8-11-12-17-21-22 August),unpaid
3557,3680,2025-08-31,2025-08-26T10:29:00+00:00,Regular,BGIS SCS,9359-6633 Quebec Inc,Unpaid,143,True,152.46,"B01254 - 268671248Janitorial Services and Provision of SuppliesAugust 21,2025",unpaid
3580,3704,2025-08-27,2025-08-27T17:55:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,147,True,1209.1,"TD00139- TDC79712700Strip and Waxing and Carpet Cleaning of TD Branch and Offices June 01,2025",unpaid
3581,3705,2025-08-27,2025-08-27T19:18:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,147,True,1299.5,"TD00139 - TDC79712725Exterior Window Cleaning, Interior Window Cleaning, Upholstery and High Dusting, Pedimat CleaningJune 2,2025",unpaid
3582,3706,2025-08-27,2025-08-27T19:33:00+00:00,One Shot,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,147,True,367.25,1840 Woodward Dr. - Carpet cleaning - June 2025,unpaid
3586,3711,2025-08-28,2025-08-28T14:17:00+00:00,One Shot,Allen Maintenance Ltd-98,12433087 Canada Inc.,Unpaid,146,True,569.13,"320 Boul. St Joseph-Galeries Hull - Supply Staff to clean mall and remove - February 28th, 2025",unpaid
3587,3712,2025-08-28,2025-08-28T14:19:00+00:00,One Shot,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,146,True,500.47,Bayshore Mall -Escalators 2nd floor to 3rd floor - June 18th and 19th,unpaid
3588,3713,2025-08-28,2025-08-28T14:33:00+00:00,One Shot,Allen Maintenance Ltd-47,12433087 Canada Inc.,Unpaid,146,True,141.25,"700 Sussex - Feaces pick up - July 21st, 2025",unpaid
3589,3714,2025-08-29,2025-08-29T11:35:00+00:00,One Shot,BGIS SCS,9359-6633 Quebec Inc,Unpaid,145,True,-11.5,"CREDIT TO BALANCE BUDGET- REF inv-3142B03294 - BCA79713466Replacement of burnt fluorescentsJune 21,2025",unpaid
3590,3715,2025-08-31,2025-08-29T15:56:00+00:00,Regular,12433087 Canada Inc,15652286 Canada Inc-Anssuini,Unpaid,143,True,2090.5,Labour:Janitorial Services at 700 Sussex St. Ottawa August 25,unpaid
3591,3716,2025-08-31,2025-08-29T16:11:00+00:00,Regular,12433087 Canada Inc,15652286 Canada Inc-Anssuini,Unpaid,143,True,2327.69,"Janitorial Services - 454 Laurier Av E, Ottawa AUG 25",unpaid
3592,3717,2025-08-31,2025-08-29T16:18:00+00:00,Regular,12433087 Canada Inc,15652286 Canada Inc-Anssuini,Unpaid,143,True,406.38,Janitorial Services at Media Plus 103-141 Catherine St - AUG 2025Labour - Washrooms one per week,unpaid
3593,3718,2025-08-31,2025-08-29T16:20:00+00:00,Regular,12433087 Canada Inc,15652286 Canada Inc-Anssuini,Unpaid,143,True,423.75,Janitorial Services at J & R Saints 101 - 141 Catherine St - Aug 2025,unpaid
3594,3719,2025-08-31,2025-08-29T16:30:00+00:00,Regular,12433087 Canada Inc,15652286 Canada Inc-Anssuini,Unpaid,143,True,4350.5,Janitorial Services at OPA- Aug 2025,unpaid
3596,3721,2025-09-30,2025-09-02T19:27:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,113,True,12555.08,Janitorial service at 5050 chemin de la Côte-de-Liesse QC Mont-Royal (C.C Royal Mount),unpaid
3597,3722,2025-09-30,2025-09-02T22:00:00+00:00,Regular,12433087 Canada Inc,9472-5025 Québec Inc-Carlos Bustamante,Unpaid,113,True,541.46,"Janitorial services at 101 Bd Cardinal Léger, Pincourt. Reg mois Août",unpaid
3598,3723,2025-09-30,2025-09-03T14:51:00+00:00,Regular,12433087 Canada Inc,Maintenance Pro-L Inc-Yobany Lopez,Unpaid,113,True,-8573.09,Janitorial Services at 625 Rene - Levesque Ouest- July 2025 CREDIT,unpaid
3601,3727,2025-09-03,2025-09-03T22:51:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,140,True,1398.38,Strip and Wax All Floors (30 December -2024 / 49.5 Hours),unpaid
3602,3728,2025-09-03,2025-09-03T23:49:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,140,True,8475.0,"Wash interior Windows, Renfrew Courthouse (28,29,30,31 Dec 2024 - 1,2 January 2025 / 300hours)",unpaid
3622,3749,2025-09-14,2025-09-14T09:00:00+00:00,One Shot,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,129,True,369.51,Patroll Weekend Minto (1140M- 1150M-1156M-1169M-1171M-18H20H-21H-22H-23H-25H-28H-1129M-1124M-1130M),unpaid
3623,3750,2025-09-30,2025-09-14T09:05:00+00:00,Regular,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,113,True,384.2,"Janitorial Services ,1320 Carling Ave, Ottawa, ON",unpaid
3624,3751,2025-09-30,2025-09-14T09:11:00+00:00,Regular,10696480 Canada Ltd.,12887533 Canada Inc-Ramirez,Unpaid,113,True,288.15,"Janitorial Services, 421-423 Richmond Rd, Ottawa, ON",unpaid
3625,3752,2025-09-30,2025-09-14T09:15:00+00:00,Regular,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,197.75,"Janitorial Services Bank TD,1295 Carling Ave, Ottawa, ON",unpaid
3626,3753,2025-09-30,2025-09-14T09:27:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,4944.65,"Janitorial Services 1341 Meadowlands Dr-Parkwood Hills-Package 1,",unpaid
3627,3754,2025-09-30,2025-09-14T09:31:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,2204.4,"Janitorial Services, 311 McArthur Ave, Ottawa,ON",unpaid
3628,3755,2025-09-30,2025-09-14T09:36:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,322.05,"Janitorial Services, 366 Brant St, Ottawa, ON",unpaid
3629,3756,2025-09-30,2025-09-14T09:39:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,953.04,"Janitorial Services, 420 Gilmour Street, Ottawa,ON",unpaid
3630,3757,2025-09-30,2025-09-14T09:43:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,953.04,"Janitorial Services, 21 James Street, Ottawa, ON",unpaid
3631,3758,2025-09-30,2025-09-14T09:49:00+00:00,Regular,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,113,True,1219.87,"Janitorial Services ,2355 St Laurent, Ottawa,ON",unpaid
3632,3759,2025-09-14,2025-09-14T10:08:00+00:00,One Shot,12433087 Canada Inc,12887533 Canada Inc-Ramirez,Unpaid,129,True,2024.96,"Strip and Wax (29-31 Agust, 3-7 september)",unpaid
3633,3760,2025-09-14,2025-09-14T11:33:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,129,True,165.32,Staff Replacement (20-21-22-24-25-26-27 August / 7.7 hours),unpaid
3634,3761,2025-09-14,2025-09-14T11:40:00+00:00,One Shot,9359-6633 Quebec Inc,12887533 Canada Inc-Ramirez,Unpaid,129,True,165.32,Staff Replacement (20-21-22-24-25-26-27 August / 7.7 hours),unpaid
